name,address,lat,lng,rating,user_ratings_total,place_id,types,primary_type,search_method,distance_km
Shakespeare and Company,"37 Rue de la Bûcherie, 75005 Paris, France",48.8525632,2.3471303,4.6,22742,ChIJ_7ZXHuFx5kcRs1LnTeCsOBM,"book_store, tourist_attraction, store, point_of_interest, establishment",book_store,{'includedTypes': ['book_store']},0.037516010792489514
The Abbey Bookshop,"29 Rue de la Parcheminerie, 75005 Paris, France",48.8517824,2.3445377,4.7,1021,ChIJodtWr-Bx5kcRRs36sAeroZ0,"book_store, store, point_of_interest, establishment",book_store,{'includedTypes': ['book_store']},0.22492233572898715
Gibert - Librairie générale,"26 Bd Saint-Michel, 75006 Paris, France",48.8505867,2.3425186,4.5,8627,ChIJlTpTv91x5kcRYmZ48tkKs8U,"book_store, store, point_of_interest, establishment",book_store,{'includedTypes': ['book_store']},0.42252907222527825
Book Off Châtelet,"9 Rue Saint-Martin, 75004 Paris, France",48.858834699999996,2.3498779,4.5,955,ChIJJRtkiWtv5kcRZTjNpT2DAIE,"movie_rental, book_store, store, point_of_interest, establishment",book_store,{'includedTypes': ['book_store']},0.6904952261255681
Arab World Institute,"1 Rue des Fossés Saint-Bernard, 75005 Paris, France",48.848925699999995,2.3572313,4.2,2243,ChIJK-03I_tx5kcRdA4Cj8VV1b4,"cultural_center, tourist_attraction, movie_theater, museum, book_store, event_venue, library, store, restaurant, food, point_of_interest, establishment",cultural_center,{'includedTypes': ['book_store']},0.8630235870342099
Nature & Découvertes,"20 bis Rue Sainte-Croix de la Bretonnerie, 75004 Paris, France",48.8582914,2.356238,4.5,1945,ChIJXy1C1gJu5kcRVCNP-vtyuSU,"gift_shop, grocery_store, home_goods_store, book_store, food_store, health, store, food, point_of_interest, establishment",gift_shop,{'includedTypes': ['book_store']},0.8979739540274231
FNAC Paris - Gare Châtelet,"Gare RER A, 75001 Paris, France",48.861129299999995,2.3475642999999997,4.0,465,ChIJ3XCCLn1v5kcRk6hBLz29sx8,"department_store, cell_phone_store, electronics_store, home_goods_store, book_store, store, point_of_interest, establishment",department_store,{'includedTypes': ['book_store']},0.9156866600957722
Fnac,"Les Halles, 75001 Paris, France",48.861303299999996,2.3473482999999997,3.1,196,ChIJxSYUeA5v5kcR9CV65yA8djg,"book_store, store, point_of_interest, establishment",book_store,{'includedTypes': ['book_store']},0.9345808857744502
FNAC Paris - Forum des Halles,"Galerie commerciale Westfield Portes Berger, 1-7 Rue Pierre Lescot, 75001 Paris, France",48.861304,2.3473501,3.9,18281,ChIJt7tBERlu5kcR1kJVgwrvRfs,"department_store, cell_phone_store, electronics_store, home_goods_store, book_store, store, point_of_interest, establishment",department_store,{'includedTypes': ['book_store']},0.9346612761883819
La Procure,"3 Rue de Mézières, 75006 Paris, France",48.8501931,2.332404,4.6,1716,ChIJy-N7otBx5kcR8UUMlcnnUvE,"book_store, store, point_of_interest, establishment",book_store,{'includedTypes': ['book_store']},1.1166045829086528
